counter,sensor altitude,ax,ay,az,gx,gy,gz,filtered s,filtered v,filtered a,state,gps altitude,longitude,latitude
1074283032, 1570.810, 0.000, 9.531, -10.401, -0.135, -0.084, -0.004, 1591.664, 14.074, 16.465, 0, 0.000, 1.97082710, -0.00000
1074283032, 1570.234, -0.007, 9.567, -10.399, -0.135, -0.084, -0.005, 1596.508, 8.500, 7.233, 0, 0.000, 1.97082710, -0.000000
1074283032, 1570.329, 0.008, 9.564, -10.391, -0.135, -0.085, -0.005, 1584.114, -14.094, -4.646, 0, 0.000, 1.97082710, -0.000000
1074283032, 1570.234, -0.019, 9.533, -10.401, -0.135, -0.083, -0.005, 1591.541, 14.104, 16.597, 0, 0.000, 1.97080994, -0.0000
1074283032, 1569.945, -0.012, 9.569, -10.377, -0.134, -0.083, -0.005, 1596.342, 8.305, 7.239, 0, 0.000, 1.97080994, -0.000000
1074283032, 1570.041, -0.012, 9.564, -10.399, -0.134, -0.082, -0.005, 1583.822, -14.356, -4.652, 0, 0.000, 1.97080994, -0.000
1074283032, 1570.041, -0.012, 9.564, -10.387, -0.135, -0.083, -0.005, 1569.318, -24.842, -8.785, 0, 0.000, 1.97080994, -0.000
1074283032, 1570.234, -0.002, 9.528, -10.396, -0.134, -0.084, -0.005, 1591.911, 14.103, 16.477, 0, 0.000, 1.97082710, -0.0000
1074283032, 1570.521, 0.003, 9.567, -10.396, -0.135, -0.083, -0.005, 1596.682, 8.141, 7.080, 0, 0.000, 1.97082710, -0.0000000
1074283032, 1570.425, -0.014, 9.564, -10.396, -0.134, -0.083, -0.005, 1583.952, -14.730, -4.773, 0, 0.000, 1.97082710, -0.000
1074283032, 1570.425, -0.014, 9.564, -10.394, -0.134, -0.083, -0.005, 1568.828, -25.588, -8.949, 0, 0.000, 1.97082710, -0.000073
1074283032, 1570.714, -0.012, 9.461, -10.437, -0.137, -0.084, -0.006, 1591.413, 14.027, 16.391, 0, 0.000, 1.97080994, -0.0000
1074283032, 1569.945, -0.459, 10.704, -10.229, -0.139, -0.158, -0.006, 1596.228, 8.434, 7.107, 0, 0.000, 1.97080994, -0.00000
1074283032, 1573.211, -0.220, 59.960, -9.424, -0.569, 0.779, 0.197, 1600.016, -0.955, -20.217, 0, 0.000, 1.97080994, -0.00000
1074283032, 1573.211, -0.220, 59.960, -9.424, 0.141, -8.731, 0.958, 1594.292, -30.176, -39.371, 0, 0.000, 1.97080994, -0.000000d
1074283032, 1573.211, -0.220, 59.960, -9.424, 0.141, -8.731, 0.958, 1594.292, -30.176, -30.986, 0, 0.000, 1.97080994, -0.000005
1074283032, 1573.211, -0.220, 59.960, -9.424, 0.141, -6.550, 0.937, 1603.905, -21.853, -20.217, 0, 0.000, 1.97082710, -0.000000
1074283032, 1736.709, 0.369, -1.100, -11.464, 0.013, -6.080, -0.172, 1686.568, 6.200, -15.178, 0, 0.000, 1.97082710, -0.000000
1074283032, 1786.735, 0.554, -0.506, -10.784, -0.287, -4.737, 0.165, 1731.208, 36.109, 2.535, 0, 0.000, 1.97080994, -0.000000
1074283032, 1786.735, 0.554, -0.506, -10.732, 0.215, -4.344, -0.348, 1772.255, 65.570, 11.328, 0, 0.000, 1.97080994, -0.00000
1074283032, 1786.735, 0.554, -0.506, -10.732, 0.215, -4.344, -0.348, 1772.255, 65.521, 12.609, 0, 0.000, 1.97080994, -0.00000
1074283032, 1786.735, 0.554, -0.506, -10.732, 0.215, -3.971, -0.131, 1799.387, 73.8, 2.535, 0, 0.000, 1.97082710, -0.000000
1074283032, 1776.631, 0.896, -0.642, -10.523, 0.267, -2.070, -0.320, 1870.299, -52.403, -34.547, 0, 0.000, 1.97082710, -0.000
1074283032, 1766.929, 1.123, -0.736, -10.808, -0.101, -1.719, -0.214, 1769.986, -165.250, -40.023, 0, 0.000, 1.97082710, -0.000000
1074283032, 1745.697, 0.494, -0.978, -10.466, -0.168, 2.654, -0.051,  1823.744, .74,  -40.716, 0, 0.000, 1.97080994, -0.000000
1074283032, 1704.048, 0.269, -1.459, -10.051, -0.155, -5.172, -0.117, 1711.125, -176.426, -41.354, 0, 0.000, 1.97082710, -0.000000
